1,24
2,23
3,34
4,21
5,25
6,27
7,31
8,33
9,18
10,26
11,22
12,30
13,32
14,28
15,54
16,20
17,17
18,43
19,47
20,29
21,41
22,45
23,49
24,53
25,57
26,NA
27,19
28,38
29,35
30,16
31,37
32,15
33,42
34,46
35,40
36,36
37,14
38,39
39,48
40,52
41,44
42,55
43,50
44,71
45,63
46,51
47,58
48,13
49,60
50,75
51,65
52,56
53,64
54,68
55,84
56,12
57,72
58,59
59,61
60,70
61,74
62,62
63,67
64,69
65,73
66,66
67,11
68,76
69,88
70,96
71,80
72,10
73,81
74,77
75,97
